        x        cos(x/2)^2  (cos(x/2)^2)'
        5.85     0.953825     0.207596
        5.86     0.955901     0.203037
        5.87     0.957931     0.198458
        5.88     0.959916     0.193858
        5.89     0.961854     0.189240
        5.90     0.963747     0.184602
        5.91     0.965593     0.179946
        5.92     0.967392     0.175272
        5.93     0.969145     0.170580
        5.94     0.970851     0.165872
        5.95     0.972509     0.161146
        5.96     0.974121     0.156405
        5.97     0.975685     0.151648
        5.98     0.977201     0.146876
        5.99     0.978670     0.142089
        6.00     0.980091     0.137288
        6.01     0.981464     0.132473
        6.02     0.982789     0.127645
        6.03     0.984065     0.122804
        6.04     0.985293     0.117951
        6.05     0.986473     0.113086
        6.06     0.987604     0.108210
        6.07     0.988686     0.103323
        6.08     0.989719     0.098425
        6.09     0.990703     0.093518
        6.10     0.991638     0.088602
        6.11     0.992524     0.083676
        6.12     0.993361     0.078742
        6.13     0.994148     0.073801
        6.14     0.994886     0.068852
        6.15     0.995575     0.063896
        6.16     0.996214     0.058933
        6.17     0.996803     0.053965
        6.18     0.997343     0.048992
        6.19     0.997833     0.044013
        6.20     0.998273     0.039030
        6.21     0.998663     0.034043
        6.22     0.999004     0.029053
        6.23     0.999294     0.024060
        6.24     0.999535     0.019064
        6.25     0.999726     0.014067
        6.26     0.999866     0.009068
        6.27     0.999957     0.004068
        6.28     0.999998    -0.000932
        
